codigo_iso3,codigo_m49,nombre_es,area_codigo,area_nombre,tipo_entidad,incluir_calculos,superficie_km2,anio_superficie,poblacion_2025,poblacion_2050,edad_mediana_2025,fuente_superficie,fuente_poblacion,estado_revision,observaciones_datos
ARM,051,Armenia,RUE,Rusia y Eurasia postsoviética,PAIS_SOBERANO,SI,28199.44,2023.0,2952355.0,2495200.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BRB,052,Barbados,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,430.0,2023.0,282628.0,264225.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BEL,056,Belgium,EUR,Europa,PAIS_SOBERANO,SI,30494.0,2023.0,11758601.0,11870903.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BMU,060,Bermuda,NAC,Norteamérica y Caribe,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,54.0,2023.0,64574.0,56957.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BTN,064,Bhutan,SAI,Subcontinente indio,PAIS_SOBERANO,SI,38140.0,2023.0,796689.0,882345.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BOL,068,Bolivia,SAM,Sudamérica,PAIS_SOBERANO,SI,1083300.0,2023.0,12581847.0,16110163.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BIH,070,Bosnia and Herzegovina,EUR,Europa,PAIS_SOBERANO,SI,51200.0,2023.0,3140098.0,2455171.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BWA,072,Botswana,AFR,África,PAIS_SOBERANO,SI,566730.0,2023.0,2562125.0,3437433.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BRA,076,Brazil,SAM,Sudamérica,PAIS_SOBERANO,SI,8358140.0,2023.0,212812397.0,217489300.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BLZ,084,Belize,NAC,Norteamérica y Caribe,PAIS_SOBERANO,SI,22810.0,2023.0,422927.0,516628.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
IOT,086,British Indian Ocean Territory,AFR,África,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,,,,,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",REVISAR,
SLB,090,Solomon Islands,APC,Asia-Pacífico,PAIS_SOBERANO,SI,27990.0,2023.0,838655.0,1309112.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
VGB,092,"Virgin Islands, British",NAC,Norteamérica y Caribe,TERRITORIO_DEPENDIENTE,SEGUN_FUENTE,150.0,2023.0,39750.0,40360.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BRN,096,Brunéi,APC,Asia-Pacífico,PAIS_SOBERANO,SI,5270.0,2023.0,466338.0,519557.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BGR,100,Bulgaria,EUR,Europa,PAIS_SOBERANO,SI,108560.0,2023.0,6714556.0,5402218.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
MMR,104,Myanmar,APC,Asia-Pacífico,PAIS_SOBERANO,SI,652670.0,2023.0,54850648.0,58623233.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
BDI,108,Burundi,AFR,África,PAIS_SOBERANO,SI,25680.0,2023.0,14390015.0,24131721.0,,"FAOSTAT 2025, processed by Our World in Data","UN WPP 2024, processed by Our World in Data",OK,
