codigo_iso3,codigo_m49,pais,area_codigo,idh,anio_idh,gini,anio_gini,esperanza_vida,anio_esperanza_vida,fuente_idh,fuente_gini,fuente_esperanza_vida,estado_revision,observaciones
VGB,092,"Virgin Islands, British",NAC,,,,,77.276,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
BRN,096,Brunéi,APC,0.837,2023.0,,,75.327,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
BGR,100,Bulgaria,EUR,0.845,2023.0,39.5,2023.0,75.7560975609756,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
MMR,104,Myanmar,APC,0.609,2023.0,30.7,2017.0,66.889,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
BDI,108,Burundi,AFR,0.439,2023.0,37.5,2020.0,63.651,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
BLR,112,Belarus,RUE,0.824,2023.0,24.4,2020.0,74.1837804878049,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
KHM,116,Cambodia,APC,0.606,2023.0,,,70.668,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
CMR,120,Cameroon,AFR,0.588,2023.0,42.2,2021.0,63.7,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CAN,124,Canada,NAC,0.939,2023.0,31.5,2022.0,81.6263414634146,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CPV,132,Cabo Verde,AFR,0.668,2023.0,42.4,2015.0,76.059,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
CYM,136,Cayman Islands,NAC,,,,,80.358,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
CAF,140,Central African Republic,AFR,0.414,2023.0,43.0,2021.0,57.408,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
LKA,144,Sri Lanka,SAI,0.776,2023.0,37.7,2019.0,77.483,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
TCD,148,Chad,AFR,0.416,2023.0,37.4,2022.0,55.069,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CHL,152,Chile,SAM,0.878,2023.0,43.0,2024.0,81.167,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CHN,156,China,CHN,0.797,2023.0,36.0,2022.0,77.953,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,CHN tratado separado de HKG y MAC.
TWN,158,"Taiwan, Province of China",APC,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI. TWN revisado expresamente; mantener criterio SEGUN_FUENTE sin duplicidad.
CXR,162,Christmas Island,APC,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
CCK,166,Cocos (Keeling) Islands,APC,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
COL,170,Colombia,SAM,0.788,2023.0,54.4,2024.0,77.725,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
COM,174,Comoros,AFR,0.603,2023.0,30.3,2024.0,66.777,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
MYT,175,Mayotte,AFR,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
COG,178,Congo,AFR,0.649,2023.0,,,65.772,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
COD,180,"Congo, The Democratic Republic of the",AFR,0.522,2023.0,44.7,2020.0,61.895,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
COK,184,Cook Islands,APC,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
CRI,188,Costa Rica,NAC,0.833,2023.0,45.8,2024.0,80.799,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
HRV,191,Croatia,EUR,0.889,2023.0,30.1,2023.0,78.4731707317073,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CUB,192,Cuba,NAC,0.762,2023.0,,,78.085,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
CYP,196,Cyprus,EUR,0.913,2023.0,31.8,2023.0,81.648,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
CZE,203,Chequia,EUR,0.915,2023.0,25.7,2023.0,79.8268292682927,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
BEN,204,Benin,AFR,0.515,2023.0,34.4,2021.0,60.774,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
DNK,208,Denmark,EUR,0.962,2023.0,29.9,2023.0,81.7536585365854,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
DMA,212,Dominica,NAC,0.761,2023.0,,,71.132,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
DOM,214,Dominican Republic,NAC,0.776,2023.0,39.0,2024.0,73.72,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ECU,218,Ecuador,SAM,0.777,2023.0,45.2,2024.0,77.392,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
SLV,222,El Salvador,NAC,0.678,2023.0,39.8,2023.0,72.099,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GNQ,226,Equatorial Guinea,AFR,0.674,2023.0,38.5,2022.0,63.707,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ETH,231,Ethiopia,AFR,0.497,2023.0,31.1,2021.0,67.315,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ERI,232,Eritrea,AFR,0.503,2023.0,,,68.624,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Sin Gini 2015-2024 usable en WDI/PIP.
EST,233,Estonia,EUR,0.905,2023.0,30.7,2023.0,78.7926829268293,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
FRO,234,Faroe Islands,EUR,,,,,82.9521195121951,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
FLK,238,Falkland Islands (Malvinas),SAM,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
FJI,242,Fiji,APC,0.731,2023.0,30.7,2019.0,67.316,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
FIN,246,Finland,EUR,0.948,2023.0,27.4,2023.0,81.5853658536585,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
ALA,248,Åland Islands,EUR,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
FRA,250,France,EUR,0.92,2023.0,31.8,2023.0,82.8317073170732,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GUF,254,French Guiana,SAM,,,,,,,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP. Sin esperanza de vida 2023/2022 usable en WDI.
PYF,258,French Polynesia,APC,,,,,84.07,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
DJI,262,Djibouti,AFR,0.513,2023.0,41.6,2017.0,65.987,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
GAB,266,Gabon,AFR,0.733,2023.0,38.0,2017.0,68.337,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
GEO,268,Georgia,RUE,0.844,2023.0,33.9,2024.0,74.496,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GMB,270,Gambia,AFR,0.524,2023.0,38.8,2020.0,65.86,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
PSE,275,Palestina,MDE,0.674,2023.0,36.4,2023.0,65.17,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
DEU,276,Germany,EUR,0.959,2023.0,33.7,2022.0,81.0414634146342,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GHA,288,Ghana,AFR,0.628,2023.0,43.5,2016.0,65.498,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,Gini seleccionado en 2015-2018 (antiguo).
GIB,292,Gibraltar,EUR,,,,,83.553,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,REVISAR,Entidad SEGUN_FUENTE; sin imputacion si la fuente no publica valor separado. Sin IDH 2023 publicado en PNUD HDR 2025 para esta entidad. Sin Gini 2015-2024 usable en WDI/PIP.
KIR,296,Kiribati,APC,0.644,2023.0,24.7,2023.0,66.473,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
GRC,300,Greece,EUR,0.908,2023.0,33.4,2023.0,81.7365853658537,2023.0,PNUD — Human Development Report 2025,Banco Mundial - Poverty and Inequality Platform,Banco Mundial - World Development Indicators,OK,
