tipo,codigo_iso3,detalle,severidad,accion_recomendada
DEPENDENCIA_2022,PAN,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,PER,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,PHL,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,QAT,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,RUS,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,RWA,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,SAU,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,VNM,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,ZWE,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,SSD,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,SDN,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,SWZ,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,SYR,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,TJK,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,TTO,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,ARE,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,TUN,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,TKM,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,UGA,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,TZA,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,URY,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,UZB,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,VEN,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,YEM,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
DEPENDENCIA_2022,ZMB,Dependencia energetica tomada en 2022 por falta de 2023.,MEDIA,Mantener anio real y documentar limitacion temporal.
ELECTRICIDAD_2024,AFG,Electricidad baja en carbono en 2024 por ausencia de 2025.,BAJA,Conservar anio real; no extrapolar a 2025.
