codigo_iso3,codigo_m49,pais,area_codigo,anio,co2_t,co2_per_capita_t,poblacion_2025,fuente,estado_revision,observaciones
PHL,608,Philippines,APC,2024.0,174878000.0,1.497410327317365,116786960.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PCN,612,Pitcairn,APC,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
POL,616,Poland,EUR,2024.0,272861820.0,7.154045316115008,38140913.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PRT,620,Portugal,EUR,2024.0,35538852.0,3.413314334433588,10411831.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GNB,624,Guinea-Bissau,AFR,2024.0,342189.0,0.1521163838879477,2249521.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TLS,626,Timor Oriental,APC,2024.0,668112.0,0.4709923018357161,1418520.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
PRI,630,Puerto Rico,NAC,,,,3235290.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
QAT,634,Qatar,MDE,2024.0,125812260.0,40.3776191144042,3115891.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
REU,638,Réunion,AFR,,,,882411.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
ROU,642,Romania,EUR,2024.0,68551400.0,3.625397998958678,18908655.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
RUS,643,Rusia,RUE,2024.0,1780524400.0,12.364976635375614,143997393.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
RWA,646,Rwanda,AFR,2024.0,2033550.0,0.13957727280745352,14569349.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
BLM,652,Saint Barthélemy,NAC,,,,11442.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SHN,654,"Saint Helena, Ascension and Tristan da Cunha",AFR,2024.0,11391.0,2.182183908045977,5220.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
KNA,659,Saint Kitts and Nevis,NAC,2024.0,259757.02,5.533220151240814,46945.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
AIA,660,Anguilla,NAC,2024.0,148085.0,10.039661016949152,14750.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
LCA,662,Saint Lucia,NAC,2024.0,536909.0,2.980228356378048,180157.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MAF,663,Saint Martin (French part),NAC,,,,24964.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SPM,666,Saint Pierre and Miquelon,NAC,2024.0,55322.0,9.889524490525563,5594.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
VCT,670,Saint Vincent and the Grenadines,NAC,2024.0,255656.98,2.558258250445294,99934.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SMR,674,San Marino,EUR,,,,33599.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero.
STP,678,Sao Tome and Principe,AFR,2024.0,141779.0,0.5900991829786526,240263.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SAU,682,Saudi Arabia,MDE,2024.0,692133500.0,20.023345263151622,34566327.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SEN,686,Senegal,AFR,2024.0,14091846.0,0.7443412779727243,18931969.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SRB,688,Serbia,EUR,2024.0,42019440.0,6.281836042791205,6689038.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SYC,690,Seychelles,AFR,2024.0,652571.0,4.914086267658664,132796.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SLE,694,Sierra Leone,AFR,2024.0,1434283.0,0.16262088148070544,8819796.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SGP,702,Singapore,APC,2024.0,53919460.0,9.18442604171972,5870749.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SVK,703,Slovakia,EUR,2024.0,29090958.0,5.3135392704928,5474874.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
VNM,704,Vietnam,APC,2024.0,370931330.0,3.650951741132475,101598530.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SVN,705,Slovenia,EUR,2024.0,12751194.0,6.023038444642832,2117070.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SOM,706,Somalia,AFR,2024.0,1319185.0,0.06711789617396677,19654743.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ZAF,710,South Africa,AFR,2024.0,439830500.0,6.793030302922658,64747319.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ZWE,716,Zimbabwe,AFR,2024.0,13701154.0,0.8082896156275357,16950798.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ESP,724,Spain,EUR,2024.0,220341280.0,4.60099110544256,47889960.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SSD,728,South Sudan,AFR,2024.0,1695552.0,0.13910740008982017,12188798.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SDN,729,Sudan,AFR,2024.0,17794800.0,0.3444456017499388,51662149.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ESH,732,Western Sahara,AFR,,,,600913.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SUR,740,Suriname,SAM,2024.0,2987768.0,4.669408933204139,639860.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SJM,744,Svalbard and Jan Mayen,EUR,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
SWZ,748,Esuatini,AFR,2024.0,1044644.0,0.8316050750769397,1256178.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SWE,752,Sweden,EUR,2024.0,38096652.0,3.5749228931156134,10656636.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
CHE,756,Switzerland,EUR,2024.0,32071708.0,3.576472724073264,8967413.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
SYR,760,Siria,MDE,2024.0,31778448.0,1.2403562955000853,25620419.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TJK,762,Tajikistan,RUE,2024.0,10739768.0,0.9956455788580385,10786738.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
THA,764,Thailand,APC,2024.0,267760200.0,3.7386302845079324,71619866.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TGO,768,Togo,AFR,2024.0,2753585.0,0.3204962271419975,8591630.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TKL,772,Tokelau,APC,,,,2632.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
TON,776,Tonga,APC,2024.0,152540.0,1.4701375302383408,103759.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TTO,780,Trinidad and Tobago,NAC,2024.0,34576280.0,22.880560945072805,1511164.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ARE,784,United Arab Emirates,MDE,2024.0,221988080.0,19.56530606453055,11346006.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TUN,788,Tunisia,AFR,2024.0,32663696.0,2.645138678338296,12348576.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TUR,792,Turquía,MDE,2024.0,513034600.0,5.850853642989045,87685427.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TKM,795,Turkmenistan,RUE,2024.0,81005550.0,10.632251420555223,7618852.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
TCA,796,Turks and Caicos Islands,NAC,2024.0,378842.0,8.081100682593856,46880.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
TUV,798,Tuvalu,APC,2024.0,11440.0,1.2021857923497268,9516.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
UGA,800,Uganda,AFR,2024.0,6333810.0,0.12326210351357547,51384893.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
UKR,804,Ukraine,EUR,2024.0,142497860.0,3.655630345317311,38980380.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
MKD,807,North Macedonia,EUR,2024.0,6619636.0,3.6496114218168345,1813792.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
EGY,818,Egypt,AFR,2024.0,258367860.0,2.1827878859971563,118365995.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GBR,826,Reino Unido,EUR,2024.0,312905540.0,4.498915002838047,69551334.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
GGY,831,Guernsey,EUR,,,,64498.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
JEY,832,Jersey,EUR,,,,104002.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
IMN,833,Isle of Man,EUR,,,,84135.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
TZA,834,Tanzania,AFR,2024.0,20018364.0,0.2837638260942389,70545863.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
USA,840,Estados Unidos,NAC,2024.0,4904120000.0,14.121686201298289,347275809.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
VIR,850,"Virgin Islands, U.S.",NAC,,,,84151.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
BFA,854,Burkina Faso,AFR,2024.0,6507663.0,0.2703126060506471,24074582.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
URY,858,Uruguay,SAM,2024.0,7973270.0,2.3556897153827565,3384686.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
UZB,860,Uzbekistan,RUE,2024.0,139234180.0,3.7576598850719023,37053428.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
VEN,862,Venezuela,SAM,2024.0,116042424.0,4.069251005544081,28516900.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
WLF,876,Wallis and Futuna,APC,2024.0,30508.0,2.718588486900731,11222.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK, Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
WSM,882,Samoa,APC,2024.0,245587.0,1.1197911679547683,219315.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
YEM,887,Yemen,MDE,2024.0,10123090.0,0.24233060844885349,41773881.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
ZMB,894,Zambia,AFR,2024.0,12043299.0,0.5495740644353319,21913878.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",OK,
XKX,,Kosovo,EUR,,,,,"Global Carbon Budget (2025), con procesamiento de Our World in Data",AUSENTE_DOCUMENTADO,Sin dato territorial comparable en 2024; no estimar ni convertir en cero. Entidad SEGUN_FUENTE; evitar duplicidad con el Estado soberano.
