area_codigo,area_nombre,anio,co2_total_t,co2_total_mt,co2_per_capita_t,entidades_totales,entidades_con_dato,poblacion_total_2025,poblacion_cubierta_2025,cobertura_poblacion_pct,fuente,observaciones
AFR,África,2024,1502098675.0,1502.098675,0.9710270352756895,59,55,1548737803.0,1546917460.0,99.88246280316308,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
APC,Asia-Pacífico,2024,4412571746.0,4412.571746,4.528725052230232,43,36,974613138.0,974351875.0,99.97319315841195,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
CHN,China,2024,12323417246.0,12323.417246,8.652783666346657,3,3,1424214186.0,1424214186.0,100.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
EUR,Europa,2024,3036121287.0,3036.121287,5.139561671338459,51,41,591100715.0,590735452.0,99.93820630042715,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
MDE,Oriente Medio,2024,2968607053.0,2968.607053,7.64735452678854,15,15,388187450.0,388187450.0,100.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
NAC,Norteamérica y Caribe,2024,6084276593.0,6084.276593,9.922722277780581,41,34,617312022.0,613166067.0,99.32838583208412,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
RUE,Rusia y Eurasia postsoviética,2024,2425143535.0,2425.143535,9.55723311391343,10,10,253749543.0,253749543.0,100.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
SAI,Subcontinente indio,2024,3535987610.0,3535.98761,1.7743904203617393,8,8,1992790070.0,1992790070.0,100.0,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
SAM,Sudamérica,2024,1109841110.0,1109.84111,2.5351093587347884,14,12,438105416.0,437788258.0,99.92760692097904,"Global Carbon Budget (2025), con procesamiento de Our World in Data",Suma de emisiones territoriales cubiertas; per capita calculado sobre poblacion cubierta 2025.
