codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
COK,184,Cook Islands,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
CRI,188,Costa Rica,NAC,96715644330.6612,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
HRV,191,Croatia,EUR,92981894167.9687,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CUB,192,Cuba,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
CYP,196,Cyprus,EUR,37634551820.7367,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
CZE,203,Chequia,EUR,347082562221.377,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
BEN,204,Benin,AFR,21482643706.4249,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DNK,208,Denmark,EUR,424524722037.047,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DMA,212,Dominica,NAC,688881481.481481,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DOM,214,Dominican Republic,NAC,124282245638.568,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ECU,218,Ecuador,SAM,123802374000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
SLV,222,El Salvador,NAC,34879730000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GNQ,226,Equatorial Guinea,AFR,13254388261.1258,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ETH,231,Ethiopia,AFR,149740297952.375,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ERI,232,Eritrea,AFR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
EST,233,Estonia,EUR,43130419829.35,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
FRO,234,Faroe Islands,EUR,4052937169.76536,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
FLK,238,Falkland Islands (Malvinas),SAM,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
FJI,242,Fiji,APC,5968125909.27126,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
FIN,246,Finland,EUR,298729432711.719,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ALA,248,Åland Islands,EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
FRA,250,France,EUR,3160442622465.08,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GUF,254,French Guiana,SAM,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
PYF,258,French Polynesia,APC,6323716355.05009,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DJI,262,Djibouti,AFR,4152145939.98458,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GAB,266,Gabon,AFR,20895684425.6752,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GEO,268,Georgia,RUE,34189423333.141,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GMB,270,Gambia,AFR,2404888737.54853,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
PSE,275,Palestina,MDE,16016900000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
DEU,276,Germany,EUR,4685592577804.69,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GHA,288,Ghana,AFR,83288585604.0268,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GIB,292,Gibraltar,EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
KIR,296,Kiribati,APC,343153235.077124,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GRC,300,Greece,EUR,256238371778.118,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GRL,304,Greenland,NAC,3326543974.39193,2023.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,Fallback a 2023 por ausencia de 2024.
GRD,308,Grenada,NAC,1351270370.37037,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GLP,312,Guadeloupe,NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
GUM,316,Guam,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
GTM,320,Guatemala,NAC,113215575150.885,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GIN,324,Guinea,AFR,25008678293.4073,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GUY,328,Guyana,SAM,24662714628.2974,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
HTI,332,Haiti,NAC,24255657481.2502,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VAT,336,Holy See (Vatican City State),EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
HND,340,Honduras,NAC,36980171442.0603,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
HKG,344,Hong Kong,CHN,408368682415.423,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,WDI reporta HKG separado de CHN.
HUN,348,Hungary,EUR,222848211034.367,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
ISL,352,Iceland,EUR,33186621855.0053,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
IND,356,India,SAI,3760813470500.86,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
IDN,360,Indonesia,APC,1396301788461.69,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
IRN,364,Irán,MDE,475252089215.416,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
IRQ,368,Iraq,MDE,279641257615.385,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
