codigo_iso3,codigo_m49,pais,area_codigo,pib_usd,anio_pib,fuente,indicador_fuente,estado_revision,observaciones
TUV,798,Tuvalu,APC,56752265.8012166,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
UGA,800,Uganda,AFR,53911907079.0485,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
UKR,804,Ukraine,EUR,190833835445.1,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
MKD,807,North Macedonia,EUR,16951682221.3962,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
EGY,818,Egypt,AFR,389059910593.1,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GBR,826,Reino Unido,EUR,3695539513534.15,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
GGY,831,Guernsey,EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
JEY,832,Jersey,EUR,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
IMN,833,Isle of Man,EUR,7576129932.79381,2023.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,Fallback a 2023 por ausencia de 2024.
TZA,834,Tanzania,AFR,79235713444.9777,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
USA,840,Estados Unidos,NAC,29298013000000.0,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VIR,850,"Virgin Islands, U.S.",NAC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
BFA,854,Burkina Faso,AFR,23136514855.7646,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
URY,858,Uruguay,SAM,82322859144.2816,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
UZB,860,Uzbekistan,RUE,121356065241.228,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
VEN,862,Venezuela,SAM,120566112397.063,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
WLF,876,Wallis and Futuna,APC,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
WSM,882,Samoa,APC,1175749785.65113,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
YEM,887,Yemen,MDE,,,Banco Mundial WDI,NY.GDP.MKTP.CD,REVISAR,Sin dato comparable 2024/2023 en WDI.
ZMB,894,Zambia,AFR,25303185342.2511,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,
XKX,,Kosovo,EUR,11203038332.3359,2024.0,Banco Mundial WDI,NY.GDP.MKTP.CD,OK,WDI publica XKX separado; mantener separado de SRB sin duplicidad.
