periodo,codigo_pais,codigo_indicador,valor,unidad,anio_referencia,codigo_fuente,observaciones
RG2025_V1,AZE,ECO_PC,7200.2559454643,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,AZE,HUM_IDH,0.789,indice_0_1,2023,UNDP_HDR,
RG2025_V1,ARG,TERR_DENS,16.7543196343,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,ARG,POB_URB,92.1945132258,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,ARG,POB_EDAD,32.122,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,ARG,HUM_EV,77.395,anios,2023,WB_WDI,
RG2025_V1,ARG,ECO_PC,13969.7854946354,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,ARG,HUM_IDH,0.865,indice_0_1,2023,UNDP_HDR,
RG2025_V1,AUS,TERR_DENS,3.5067542726,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,AUS,POB_URB,87.4866955654,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,AUS,POB_EDAD,37.751,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,AUS,HUM_EV,83.0512195122,anios,2023,WB_WDI,
RG2025_V1,AUS,ECO_PC,65773.5522891872,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,AUS,HUM_IDH,0.958,indice_0_1,2023,UNDP_HDR,
RG2025_V1,AUT,TERR_DENS,110.4408385846,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,AUT,POB_URB,69.2265358276,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,AUT,POB_EDAD,43.086,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,AUT,HUM_EV,81.7926829268,anios,2023,WB_WDI,
RG2025_V1,AUT,ECO_PC,58634.0936053217,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,AUT,HUM_IDH,0.93,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BHS,TERR_DENS,40.2637362637,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BHS,POB_URB,81.3213799174,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BHS,POB_EDAD,34.597,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BHS,HUM_EV,74.552,anios,2023,WB_WDI,
RG2025_V1,BHS,ECO_PC,39455.5449783444,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BHS,HUM_IDH,0.82,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BHR,TERR_DENS,2054.1725,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BHR,POB_URB,100,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BHR,POB_EDAD,32.876,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BHR,HUM_EV,81.284,anios,2023,WB_WDI,
RG2025_V1,BHR,ECO_PC,29377.0998530645,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BHR,HUM_IDH,0.899,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BGD,TERR_DENS,1351.6456685644,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BGD,POB_URB,32.1578465037,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BGD,POB_EDAD,25.325,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BGD,HUM_EV,74.672,anios,2023,WB_WDI,
RG2025_V1,BGD,ECO_PC,2593.4160869232,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BGD,HUM_IDH,0.685,indice_0_1,2023,UNDP_HDR,
RG2025_V1,ARM,TERR_DENS,104.6955187763,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,ARM,POB_URB,65.6956882009,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,ARM,POB_EDAD,35.832,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,ARM,HUM_EV,77.4658536585,anios,2023,WB_WDI,
RG2025_V1,ARM,ECO_PC,8727.8566420729,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,ARM,HUM_IDH,0.811,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BRB,TERR_DENS,657.2744186047,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BRB,POB_URB,59.4235740236,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BRB,POB_EDAD,38.905,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BRB,HUM_EV,76.178,anios,2023,WB_WDI,
RG2025_V1,BRB,ECO_PC,26896.3432291593,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BRB,HUM_IDH,0.811,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BEL,TERR_DENS,385.6037581164,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BEL,POB_URB,87.5514926368,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BEL,POB_EDAD,41.44,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BEL,HUM_EV,82.4,anios,2023,WB_WDI,
RG2025_V1,BEL,ECO_PC,57159.6210723455,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BEL,HUM_IDH,0.951,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BMU,TERR_DENS,1195.8148148148,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BMU,POB_URB,100,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BMU,POB_EDAD,45.14,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BMU,HUM_EV,82.309,anios,2023,WB_WDI,
RG2025_V1,BMU,ECO_PC,142197.633776678,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BTN,TERR_DENS,20.8885422129,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
RG2025_V1,BTN,POB_URB,41.735245799,%,2023,WB_WDI_SP.URB.TOTL.IN.ZS,Definicion urbana nacional armonizada por ONU/WDI.
RG2025_V1,BTN,POB_EDAD,29.388,anios,2023,OWID_MEDIAN_AGE,
RG2025_V1,BTN,HUM_EV,72.975,anios,2023,WB_WDI,
RG2025_V1,BTN,ECO_PC,4228.0189743276,USD_corrientes_por_hab,2024,WB_WDI_NY.GDP.MKTP.CD,PIB nominal WDI 2024 / poblacion 2024.
RG2025_V1,BTN,HUM_IDH,0.698,indice_0_1,2023,UNDP_HDR,
RG2025_V1,BOL,TERR_DENS,11.6143699806,hab/km2,2025,CALC_UNWPP_FAOSTAT_OWID,Poblacion 2025 / superficie terrestre 2023.
